PROJ,HASHID_FIX,HASHID_INDUCE,FILE
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,f27898f28082a42624d7dd5c7768523ef6b16f61,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/Files.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,305758fc96e8ee05b632e3b7a4341b7dba36f16d,openjpa-kernel/src/main/java/org/apache/openjpa/meta/ClassMetaData.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,964ab657ce7d231ffdf74c96dc429933b0f16edc,openjpa-kernel/src/main/java/org/apache/openjpa/meta/ClassMetaData.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,979d2340e93eaaa9f273a100dbe78e42ea9ed400,openjpa-kernel/src/main/java/org/apache/openjpa/meta/ClassMetaData.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,305758fc96e8ee05b632e3b7a4341b7dba36f16d,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceProductDerivation.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,3d5b44956dd6b860b8367b25d5858ad7db0cd141,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceProductDerivation.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,62bc6c997c859f5b028df18e99c484b28864109b,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceProductDerivation.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,8b6406724b5a9cd55a911eb5df394dd7b21bb18d,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceProductDerivation.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,cdcfea47d4568f69783c6733b27dfbc33e3ba621,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceProductDerivation.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,305758fc96e8ee05b632e3b7a4341b7dba36f16d,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/ApplicationIdTool.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,7a6d34e95f66e916e44b844b1ce6551ba8169539,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/ApplicationIdTool.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,305758fc96e8ee05b632e3b7a4341b7dba36f16d,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/PluginListValue.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,f27898f28082a42624d7dd5c7768523ef6b16f61,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/PluginListValue.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,305758fc96e8ee05b632e3b7a4341b7dba36f16d,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ResultPacker.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,aecff50b27d17904a7b9cb6de00df032f01425dd,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ResultPacker.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,f27898f28082a42624d7dd5c7768523ef6b16f61,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ResultPacker.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,305758fc96e8ee05b632e3b7a4341b7dba36f16d,openjpa-lib/src/main/java/org/apache/openjpa/lib/ant/AbstractTask.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,9fa9ef4fe825bf29c480303c169413ab997e5707,openjpa-lib/src/main/java/org/apache/openjpa/lib/ant/AbstractTask.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,305758fc96e8ee05b632e3b7a4341b7dba36f16d,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/MappingFactoryValue.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,6ac482c68fb8f57ce68202f73f623142b1c86cc5,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/MappingFactoryValue.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,f27898f28082a42624d7dd5c7768523ef6b16f61,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/MappingFactoryValue.java
